"","before","after"
"1782","ALAN DITCHEK, M.D. PLLC","ALAN DITCHEK, M.D. PLLC"
"1783","ALAN FARBER","ALAN FARBER"
"1784","ALAN HARRIS FRIEDMAN MD PC","ALAN HARRIS FRIEDMAN MD PC"
"1785","ALAN HILFER, PH.D., PSYCHOLOGIST, P.C.","ALAN HILFER, PH.D., PSYCHOLOGIST, P.C."
"1786","ALAN J DAYAN M D P C","ALAN J DAYAN M D P C"
"1787","ALAN J FRIEDMAN MD PC","ALAN J FRIEDMAN MD PC"
"1788","ALAN J. KATZ, M.D., PLLC","ALAN J. KATZ, M.D., PLLC"
"1789","ALAN J. ROSEN, DPM, PC","ALAN J. ROSEN, DPM, PC"
"1790","ALAN JORDAN, M.D., P.C.","ALAN JORDAN, M.D., P.C."
"1791","ALAN L NISSENBAUM MEDICAL SERVICES PC","ALAN L NISSENBAUM MEDICAL SERVICES PC"
"1792","ALAN L NISSENBAUM MEDICAL SERVICES, PC","ALAN L NISSENBAUM MEDICAL SERVICES, PC"
"1793","ALAN LEFKOWITZ & BEVERLY LEFKOWITZ, MSW'S","ALAN LEFKOWITZ & BEVERLY LEFKOWITZ, MSW'S"
"1794","ALAN M LEFF MD PC","ALAN M LEFF MD PC"
"1795","ALAN MEDINA, M.D., P.C.","ALAN MEDINA, M.D., P.C."
"1796","ALAN NEWMARK, DPM","ALAN NEWMARK, DPM"
"1797","ALAN R MINKOFF OD","ALAN R MINKOFF OD"
"1798","ALAN R. JACOBS, M.D., P.C.","ALAN R. JACOBS, M.D., P.C."
"1799","ALAN R. KLING, MD., PC","ALAN R. KLING, MD., PC"
"1800","ALAN RAYMOND, MD, P.C.","ALAN RAYMOND, MD, P.C."
"1801","ALAN TAJERSTEIN M D","ALAN TAJERSTEIN M D"
"1802","ALAN TAJERSTEIN MD","ALAN TAJERSTEIN MD"
"1803","ALANA CARVALHO THERAPY","ALANA CARVALHO THERAPY"
"1804","ALARIS HEALTH DIALYSIS AT THE CHATEAU, LLC","ALARIS HEALTH DIALYSIS AT THE CHATEAU, LLC"
"1805","ALB EYE WORLD LLC","ALB EYE WORLD LLC"
"1806","ALBA INTERNATIONAL TRADING CORP.","ALBA INTERNATIONAL TRADING CORP."
"1807","ALBALEE EARLY INTERVENTION","ALBALEE EARLY INTERVENTION"
"1808","ALBAN ACUPUNCTURE PC","ALBAN ACUPUNCTURE PC"
"1809","ALBANY PHARMACY INC.","ALBANY PHARMACY INC."
"1810","ALBEE DENTAL CARE","ALBEE DENTAL CARE"
"1811","ALBERT ATTIA MD PC","ALBERT ATTIA MD PC"
"1812","ALBERT B KNAPP MD PC","ALBERT B KNAPP MD PC"
"1813","ALBERT DAVYDOV, DDS, PC","ALBERT DAVYDOV, DDS, PC"
"1814","ALBERT EINSTEIN MEDICAL CENTER","ALBERT EINSTEIN MEDICAL CENTER"
"1815","ALBERT EINSTEIN SCHOOL OF MEDICINE","ALBERT EINSTEIN SCHOOL OF MEDICINE"
"1816","ALBERT ENISTEIN COLLEGE OF MEDICINE","ALBERT ENISTEIN COLLEGE OF MEDICINE"
"1817","ALBERT GRAZIOSA MD PC","ALBERT GRAZIOSA MD PC"
"1818","ALBERT KHODOSH DDS PC","ALBERT KHODOSH DDS PC"
"1819","ALBERT LANDA P.T., PC","ALBERT LANDA P.T., PC"
"1820","ALBERT M WRIGHT MD PC","ALBERT M WRIGHT MD PC"
"1821","ALBERT MATALON MD PC","ALBERT MATALON MD PC"
"1822","ALBERT O. DUNCAN, P.A.","ALBERT O. DUNCAN, P.A."
"1823","ALBERT SASSOON, M.D. P.C.","ALBERT SASSOON, M.D. P.C."
"1824","ALBERT SURGICAL","ALBERT SURGICAL"
"1825","ALBERTEINSTEIN COLLEGE OF MEDICINE","ALBERTEINSTEIN COLLEGE OF MEDICINE"
"1826","ALBERTO COMAS ESPINAL MD PC","ALBERTO COMAS ESPINAL MD PC"
"1827","ALBIN MA CORP","ALBIN MA CORP"
"1828","ALBOR MEDICAL, PC","ALBOR MEDICAL, PC"
"1829","ALDAV PHARMACY, INC","ALDAV PHARMACY, INC"
"1830","ALDEA COUNSELING SERVICES LCSW PC","ALDEA COUNSELING SERVICES LCSW PC"
"1831","ALDEA, INC.","ALDEA, INC."
"1832","ALDEN J PEARL MD PC","ALDEN J PEARL MD PC"
"1833","ALDO ALLEVA, MD PLLC","ALDO ALLEVA, MD PLLC"
"1834","ALDONA PYRCHLA DDS PLLC","ALDONA PYRCHLA DDS PLLC"
"1835","ALEA PHYSICAL THERAPY P.C.","ALEA PHYSICAL THERAPY P.C."
"1836","ALEANDRE DA SILVA","ALEANDRE DA SILVA"
"1837","ALECIA JONES","ALECIA JONES"
"1838","ALECIA M. GIOVINAZZO MD LLC","ALECIA M. GIOVINAZZO MD LLC"
"1839","ALEJANDRO WILLIAMS DENTAL OFFICE PC","ALEJANDRO WILLIAMS DENTAL OFFICE PC"
"1840","ALEKSANDR ILYAYEV MEDICAL PC","ALEKSANDR ILYAYEV MEDICAL PC"
"1841","ALEKSANDR LIVSHITS MEDICAL, PC","ALEKSANDR LIVSHITS MEDICAL, PC"
"1842","ALEKSANDR MEDICAL PC","ALEKSANDR MEDICAL PC"
"1843","ALEKSANDR ZASYPKIN,M.D.P.C.","ALEKSANDR ZASYPKIN,M.D.P.C."
"1844","ALELI GAMBOA PHYSICAL THERAPY PLLC","ALELI GAMBOA PHYSICAL THERAPY PLLC"
"1845","ALEPH MEDICAL GROUP","ALEPH MEDICAL GROUP"
"1846","ALERT AMBULETTE SERVICE CORP.","ALERT AMBULETTE SERVICE CORP."
"1847","ALERT MEDICAL SUPPLY INC","ALERT MEDICAL SUPPLY INC"
"1848","ALEX M. GREENBERG, DDS PC","ALEX M. GREENBERG, DDS PC"
"1849","ALEX SHTEYNSHLYUGER MD PC","ALEX SHTEYNSHLYUGER MD PC"
"1850","ALEX VISCO MD PC","ALEX VISCO MD PC"
"1851","ALEX WEI, M.D. PLLC","ALEX WEI, M.D. PLLC"
"1852","ALEXA S. LESSOW, MD PC","ALEXA S. LESSOW, MD PC"
"1853","ALEXANDER AIZMAN, M.D.,P.C.","ALEXANDER AIZMAN, M.D.,P.C."
"1854","ALEXANDER AYZENBERG DENTISTRY PC","ALEXANDER AYZENBERG DENTISTRY PC"
"1855","ALEXANDER BERENBLIT, M.D.","ALEXANDER BERENBLIT, M.D."
"1856","ALEXANDER CHAN, M.D., P.C.","ALEXANDER CHAN, M.D., P.C."
"1857","ALEXANDER ESPOSITO JR DC PLLC","ALEXANDER ESPOSITO JR DC PLLC"
"1858","ALEXANDER GOLBERG PHYSICIAN, P.C.","ALEXANDER GOLBERG PHYSICIAN, P.C."
"1859","ALEXANDER H. LEVI PC","ALEXANDER H. LEVI PC"
"1860","ALEXANDER J MIRAGLIA PODIATRY, PLLC","ALEXANDER J MIRAGLIA PODIATRY, PLLC"
"1861","ALEXANDER KIRSCHENABUM M.D.P.C","ALEXANDER KIRSCHENABUM M.D.P.C"
"1862","ALEXANDER KOGOS MEDICAL, PC","ALEXANDER KOGOS MEDICAL, PC"
"1863","ALEXANDER KORDONSKY, D.D.S., P.C.","ALEXANDER KORDONSKY, D.D.S., P.C."
"1864","ALEXANDER KULICK MD PC","ALEXANDER KULICK MD PC"
"1865","ALEXANDER L. BLINSKI MD P.C.","ALEXANDER L. BLINSKI MD P.C."
"1866","ALEXANDER MCMEEKING MD PC","ALEXANDER MCMEEKING MD PC"
"1867","ALEXANDER MERSON, M.D., PLLC","ALEXANDER MERSON, M.D., PLLC"
"1868","ALEXANDER MILLER DDS PC","ALEXANDER MILLER DDS PC"
"1869","ALEXANDER PERKELVALD MD PC","ALEXANDER PERKELVALD MD PC"
"1870","ALEXANDER RABINOVICH MEDICAL PC","ALEXANDER RABINOVICH MEDICAL PC"
"1871","ALEXANDER SHIFRIN MEDICAL PC","ALEXANDER SHIFRIN MEDICAL PC"
"1872","ALEXANDER TARNARIDER O.D.,P.C.","ALEXANDER TARNARIDER O.D.,P.C."
"1873","ALEXANDR ABRAMOV MEDICAL PC","ALEXANDR ABRAMOV MEDICAL PC"
"1874","ALEXANDRA & ETHAN, INC.","ALEXANDRA & ETHAN, INC."
"1875","ALEXANDRA GRUNDLEGER, LCSW, PLLC","ALEXANDRA GRUNDLEGER, LCSW, PLLC"
"1876","ALEXANDRE SCHEER, MD, PC","ALEXANDRE SCHEER, MD, PC"
"1877","ALEXANDRIA & AKEA'S PLAYHOUSE, INC.","ALEXANDRIA & AKEA'S PLAYHOUSE, INC."
"1878","ALEXANDROS GIANNAKAKOS MD PC","ALEXANDROS GIANNAKAKOS MD PC"
"1879","ALEXEY MIGIROV MEDICAL PC","ALEXEY MIGIROV MEDICAL PC"
"1880","ALFA DENTAL PC","ALFA DENTAL PC"
"1881","ALFA IMAGING GROUP INC","ALFA IMAGING GROUP INC"
"1882","ALFA REHAB PT, P.C.","ALFA REHAB PT, P.C."
"1883","ALFONSO DENTAL OFFICE. P.C.","ALFONSO DENTAL OFFICE. P.C."
"1884","ALFRED A PECORA, DC, PC","ALFRED A PECORA, DC, PC"
"1885","ALFRED J KALTMAN MD","ALFRED J KALTMAN MD"
"1886","ALFRED J SANGINARIO","ALFRED J SANGINARIO"
"1887","ALFRED SHTAINER MD PC","ALFRED SHTAINER MD PC"
"1888","ALHADDAD PHYSICIAN SERVICES","ALHADDAD PHYSICIAN SERVICES"
"1889","ALI ABOUFARES MEDICINE, P.C","ALI ABOUFARES MEDICINE, P.C"
"1890","ALI AMIRAH MURATOVIC D.D.S. P.C.","ALI AMIRAH MURATOVIC D.D.S. P.C."
"1891","ALI MODIRI DDS PC","ALI MODIRI DDS PC"
"1892","ALI SLP PROFESSIONAL CORPORATION","ALI SLP PROFESSIONAL CORPORATION"
"1893","ALIANZA DOMINICANA , INC.","ALIANZA DOMINICANA , INC."
"1894","ALIANZA DOMINICANA INC OASIS","ALIANZA DOMINICANA INC OASIS"
"1895","ALIANZA DOMINICANA, INC.","ALIANZA DOMINICANA, INC."
"1896","ALICE CHIU, OT, PC","ALICE CHIU, OT, PC"
"1897","ALICE V. COGHILL, M.D.","ALICE V. COGHILL, M.D."
"1898","ALICIA ALMENDRAL, MD, PLLC","ALICIA ALMENDRAL, MD, PLLC"
"1899","ALICIA PHARMA LLC","ALICIA PHARMA LLC"
"1900","ALICIA RANIOLA LCSW & ASSOCIATES P.L.L.C","ALICIA RANIOLA LCSW & ASSOCIATES P.L.L.C"
"1901","ALICIA RUSSELL CARTER, MD, PC","ALICIA RUSSELL CARTER, MD, PC"
"1902","ALIGN ACUPUNCTURE","ALIGN ACUPUNCTURE"
"1903","ALIGNMENT CHIROPRACTIC NYC PLLC","ALIGNMENT CHIROPRACTIC NYC PLLC"
"1904","ALIL DENTAL PC","ALIL DENTAL PC"
"1905","ALINA MASTAN PHYSICIAN P.C.","ALINA MASTAN PHYSICIAN P.C."
"1906","ALINA RABINOVICH M.D. PC","ALINA RABINOVICH M.D. PC"
"1907","ALIRAYNA INC","ALIRAYNA INC"
"1908","ALISA KRIEGEL PHD PC","ALISA KRIEGEL PHD PC"
"1909","ALISAN B GOLDFARB M.D. P.C.","ALISAN B GOLDFARB M.D. P.C."
"1910","ALISONS PHARMACY INC","ALISONS PHARMACY INC"
"1911","ALISSA HOME CARE","ALISSA HOME CARE"
"1912","ALISTAIR GRAHAM","ALISTAIR GRAHAM"
"1913","ALIX DUFRESNE, MD PC","ALIX DUFRESNE, MD PC"
"1914","ALJUD LICENSED HOME CARE SERVICES LLC","ALJUD LICENSED HOME CARE SERVICES LLC"
"1915","ALKHEIRAT INC","ALKHEIRAT INC"
"1916","ALL ABOUT EYES, INC","ALL ABOUT EYES, INC"
"1917","ALL ABOUT HEALTH","ALL ABOUT HEALTH"
"1918","ALL ACCESS TRANSPORTATION GROUP INC (AATG)","ALL ACCESS TRANSPORTATION GROUP INC (AATG)"
"1919","ALL ACE DENTAL","ALL ACE DENTAL"
"1920","ALL AMERICAN DRUGGISTS","ALL AMERICAN DRUGGISTS"
"1921","ALL AMERICAN HOMECARE AGENCY INC.","ALL AMERICAN HOMECARE AGENCY INC."
"1922","ALL AMERICAN SMILE DENTAL","ALL AMERICAN SMILE DENTAL"
"1923","ALL AROUND TRANS INC","ALL AROUND TRANS INC"
"1924","ALL BORO COMMUNITY ADULT DAY CARE","ALL BORO COMMUNITY ADULT DAY CARE"
"1925","ALL BOROUGH MEDICAL DIAGNOSTICS, P.C.","ALL BOROUGH MEDICAL DIAGNOSTICS, P.C."
"1926","ALL BRAND CHECK WRITER CO","ALL BRAND CHECK WRITER CO"
"1927","ALL CARE CDPAP LLC","ALL CARE CDPAP LLC"
"1928","ALL CARE HOME HEALTH SERVICES LLC","ALL CARE HOME HEALTH SERVICES LLC"
"1929","ALL CARE MEDICAL SUPPLY LLC","ALL CARE MEDICAL SUPPLY LLC"
"1930","ALL CARE PODIATRY PC","ALL CARE PODIATRY PC"
"1931","ALL CHIROPRACTIC OF THE BRONX PC","ALL CHIROPRACTIC OF THE BRONX PC"
"1932","ALL CITY CORPORATE TRANSP","ALL CITY CORPORATE TRANSP"
"1933","ALL CITY CORPORATE TRANSPORTATION INC.","ALL CITY CORPORATE TRANSPORTATION INC."
"1934","ALL CITY FAMILY HEALTHCARE CENTER, INC.","ALL CITY FAMILY HEALTHCARE CENTER, INC."
"1935","ALL EMPIRE THERAPIES","ALL EMPIRE THERAPIES"
"1936","ALL EYE CARE OPHTHALMOLOGY PLLC","ALL EYE CARE OPHTHALMOLOGY PLLC"
"1937","ALL EYES ON US INC","ALL EYES ON US INC"
"1938","ALL FOR HAPPY SMILES DENTAL PC","ALL FOR HAPPY SMILES DENTAL PC"
"1939","ALL FOR YOU CHIROPRACTICS, PC","ALL FOR YOU CHIROPRACTICS, PC"
"1940","ALL FRIENDS AND FAMILY, INC.","ALL FRIENDS AND FAMILY, INC."
"1941","ALL HEALTH PHARMACY CORP","ALL HEALTH PHARMACY CORP"
"1942","ALL HEALTHY STYLE MEDICAL PC","ALL HEALTHY STYLE MEDICAL PC"
"1943","ALL HEART FI INC","ALL HEART FI INC"
"1944","ALL IN ONE DENTAL","ALL IN ONE DENTAL"
"1945","ALL ISLAND OCCUPATIONAL THERAPY, PC","ALL ISLAND OCCUPATIONAL THERAPY, PC"
"1946","ALL MANHATTAN MEDICAL CARE PC","ALL MANHATTAN MEDICAL CARE PC"
"1947","ALL MED AND REHABILITATION OF NEW YOURK","ALL MED AND REHABILITATION OF NEW YOURK"
"1948","ALL MEDICAL CARE LLP","ALL MEDICAL CARE LLP"
"1949","ALL MEDICAL CARE OF BRONX PC","ALL MEDICAL CARE OF BRONX PC"
"1950","ALL MEDICAL COMMUNITY CARE PC","ALL MEDICAL COMMUNITY CARE PC"
"1951","ALL MEDICAL RIVERDALE SERVICES PC","ALL MEDICAL RIVERDALE SERVICES PC"
"1952","ALL METRO HEALTH CARE","ALL METRO HEALTH CARE"
"1953","ALL MIGHTY SOCIAL DAY CARE LLC","ALL MIGHTY SOCIAL DAY CARE LLC"
"1954","ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL","ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL"
"1955","ALL NATIONS LUXURY & LIMO CORP","ALL NATIONS LUXURY & LIMO CORP"
"1956","ALL NEUROLOGICAL SERVICES PC","ALL NEUROLOGICAL SERVICES PC"
"1957","ALL PHYSICAL THERAPY OF THE BRONX, PC","ALL PHYSICAL THERAPY OF THE BRONX, PC"
"1958","ALL PHYSICAL THERAPY PLLC","ALL PHYSICAL THERAPY PLLC"
"1959","ALL PRO HOME & HEALTH CARE SERVICES, INC.","ALL PRO HOME & HEALTH CARE SERVICES, INC."
"1960","ALL RIVERDALE PHYSICAL THERAPY, PC","ALL RIVERDALE PHYSICAL THERAPY, PC"
"1961","ALL RX PHARMACY II INC","ALL RX PHARMACY II INC"
"1962","ALL STAR OPTICAL INC.","ALL STAR OPTICAL INC."
"1963","ALL TIME CARE MEDICAL PLLC","ALL TIME CARE MEDICAL PLLC"
"1964","ALLA BELILOVSKY INTERNAL MEDICINE, PC","ALLA BELILOVSKY INTERNAL MEDICINE, PC"
"1965","ALLA SHUSTAROVICH MD PC","ALLA SHUSTAROVICH MD PC"
"1966","ALLA ZLOTINA OD PC","ALLA ZLOTINA OD PC"
"1967","ALLA ZUSIN DENTISTRY, PC","ALLA ZUSIN DENTISTRY, PC"
"1968","ALLAN WEISBERG DC PC","ALLAN WEISBERG DC PC"
"1969","ALLAN Y. JONG, M.D., P.C.","ALLAN Y. JONG, M.D., P.C."
"1970","ALLAY MEDICAL CARE PC","ALLAY MEDICAL CARE PC"
"1971","ALLBOROGH PERSONAL CARE INC.","ALLBOROGH PERSONAL CARE INC."
"1972","ALLCARE DME, INC.","ALLCARE DME, INC."
"1973","ALLCARE MEDICAL SUPPLY","ALLCARE MEDICAL SUPPLY"
"1974","ALLCARE PROVIDER SERVICES, INC.","ALLCARE PROVIDER SERVICES, INC."
"1975","ALLCURE CORPORATION","ALLCURE CORPORATION"
"1976","ALLEGIANT HOME CARE","ALLEGIANT HOME CARE"
"1977","ALLEGIANT HOME CARE, LLC","ALLEGIANT HOME CARE, LLC"
"1978","ALLEN & SCHWARZ DENTAL PLLC","ALLEN & SCHWARZ DENTAL PLLC"
"1979","ALLEN CHIROPRACTIC, P.C.","ALLEN CHIROPRACTIC, P.C."
"1980","ALLEN L. LEE, M.D.,P.C.","ALLEN L. LEE, M.D.,P.C."
"1981","ALLEN M KAUFMAN MD PLLC","ALLEN M KAUFMAN MD PLLC"
"1982","ALLEN MANAGEMENT COMPANY, LLC","ALLEN MANAGEMENT COMPANY, LLC"
"1983","ALLEN SHUMAN DPM PC","ALLEN SHUMAN DPM PC"
"1984","ALLEN THERAPEUTIC SERVICES: SLP PLLC)","ALLEN THERAPEUTIC SERVICES: SLP PLLC)"
"1985","ALLERGY & ASTHMA ASSOCIATES OF MURRAY HILL, P C","ALLERGY & ASTHMA ASSOCIATES OF MURRAY HILL, P C"
"1986","ALLERGY & ASTHMA CARE OF MANHATTAN PLLC","ALLERGY & ASTHMA CARE OF MANHATTAN PLLC"
"1987","ALLERGY & ASTHMA MEDICAL CARE PLLC","ALLERGY & ASTHMA MEDICAL CARE PLLC"
"1988","ALLERGY AND ASTHMA CARE CENTER","ALLERGY AND ASTHMA CARE CENTER"
"1989","ALLERGY AND ASTHMA CARE OF BROOKLYN","ALLERGY AND ASTHMA CARE OF BROOKLYN"
"1990","ALLERGY AND ASTHMA MEDICAL PC","ALLERGY AND ASTHMA MEDICAL PC"
"1991","ALLERGY AND ASTHMA WELLNESS PLLC","ALLERGY AND ASTHMA WELLNESS PLLC"
"1992","ALLERGY AND IMMUNOLOGY PLUS FAMILY HEALTH P.C.","ALLERGY AND IMMUNOLOGY PLUS FAMILY HEALTH P.C."
"1993","ALLERPED MEDICAL PC","ALLERPED MEDICAL PC"
"1994","ALLERTON CORP","ALLERTON CORP"
"1995","ALLERTON PARK PHARMACY INC","ALLERTON PARK PHARMACY INC"
"1996","ALLERTON PHYSICAL THERAPY SERVICES, PC","ALLERTON PHYSICAL THERAPY SERVICES, PC"
"1997","ALLEVA DEVELOPMENTAL SERVICES","ALLEVA DEVELOPMENTAL SERVICES"
"1998","ALLEVIANT PHYSICAL THERAPY P.C.","ALLEVIANT PHYSICAL THERAPY P.C."
"1999","ALLEY SAMUELS","ALLEY SAMUELS"
"2000","ALLEYES INC","ALLEYES INC"
"2001","ALLHEALTH HOME CARE, LLC","ALLHEALTH HOME CARE, LLC"
"2002","ALLHEALTH IDTF INC","ALLHEALTH IDTF INC"
"2003","ALLIANCE CARE MANAGEMENT IPA LLC","ALLIANCE CARE MANAGEMENT IPA LLC"
"2004","ALLIANCE DENTAL ARTS, P.C.","ALLIANCE DENTAL ARTS, P.C."
"2005","ALLIANCE FOR HEALTH","ALLIANCE FOR HEALTH"
"2006","ALLIANCE HEALTH ASSOCIATES, INC","ALLIANCE HEALTH ASSOCIATES, INC"
"2007","ALLIANCE HEALTH OPERATIONS LLC","ALLIANCE HEALTH OPERATIONS LLC"
"2008","ALLIANCE MEDICAL &WELLNESS PLLC","ALLIANCE MEDICAL &WELLNESS PLLC"
"2009","ALLIANCE MEDICAL OFFICE","ALLIANCE MEDICAL OFFICE"
"2010","ALLIANCE NURSING STAFFING OF NEW YORK, INC.","ALLIANCE NURSING STAFFING OF NEW YORK, INC."
"2011","ALLIANCE PHYSICAL THERAPY, P.C.","ALLIANCE PHYSICAL THERAPY, P.C."
"2012","ALLIANCE PROFESSIONAL MEDICAL SERVICES, PC","ALLIANCE PROFESSIONAL MEDICAL SERVICES, PC"
"2013","ALLIED CENTRAL AMBULETTE, INC","ALLIED CENTRAL AMBULETTE, INC"
"2014","ALLIED HEALTH SERVICES, INC","ALLIED HEALTH SERVICES, INC"
"2015","ALLIED INTERVENTION ASSOCIATES, LLC","ALLIED INTERVENTION ASSOCIATES, LLC"
"2016","ALLIED MEDICAL ASSOCIATES, P.C.","ALLIED MEDICAL ASSOCIATES, P.C."
"2017","ALLISON J. BEITLER, MD, PLLC","ALLISON J. BEITLER, MD, PLLC"
"2018","ALLISON KAPLON SPEECH AND LANGUAGE THERAPY, P.C.","ALLISON KAPLON SPEECH AND LANGUAGE THERAPY, P.C."
"2019","ALLMED PHARMACY INC.","ALLMED PHARMACY INC."
"2020","ALLMEDICAL SERVICE, INC","ALLMEDICAL SERVICE, INC"
"2021","ALLMEDICAL SERVICE, INC.","ALLMEDICAL SERVICE, INC."
"2022","ALLO TRANSPORTATION GROUP LLC","ALLO TRANSPORTATION GROUP LLC"
"2023","ALLON VISION INC","ALLON VISION INC"
"2024","ALLPHARMA INC","ALLPHARMA INC"
"2025","ALLSTAR HOMECARE AGENCY, INC","ALLSTAR HOMECARE AGENCY, INC"
"2026","ALLSTAR HOMECARE FI, INC.","ALLSTAR HOMECARE FI, INC."
"2027","ALLSTAR HOSPICE OF NJ, INC.","ALLSTAR HOSPICE OF NJ, INC."
"2028","ALLTO OCCUPATIONAL AND PHYSICAL THERAPY SERVICES PLLC","ALLTO OCCUPATIONAL AND PHYSICAL THERAPY SERVICES PLLC"
"2029","ALLTOWN LIMO CORP","ALLTOWN LIMO CORP"
"2030","ALLURE PLASTIC SURGERY & ENT PC","ALLURE PLASTIC SURGERY & ENT PC"
"2031","ALLURE SJA LLC","ALLURE SJA LLC"
"2032","ALLURE SPECIALTY PHARMACY","ALLURE SPECIALTY PHARMACY"
"2033","ALLY CAR SERVICE LLC","ALLY CAR SERVICE LLC"
"2034","ALLYSSA M. KNOWLES","ALLYSSA M. KNOWLES"
"2035","ALMADAD INC","ALMADAD INC"
"2036","ALMARK PHARMACY INC.","ALMARK PHARMACY INC."
"2037","ALMAZ TRANSPORTATION INC.","ALMAZ TRANSPORTATION INC."
"2038","ALMORO INC.","ALMORO INC."
"2039","ALN MEDICAL PC","ALN MEDICAL PC"
"2040","ALPHA CAPRICORNUS INC","ALPHA CAPRICORNUS INC"
"2041","ALPHA IMAGING CONSULTANTS, PLLC","ALPHA IMAGING CONSULTANTS, PLLC"
"2042","ALPHA INTERNAL MEDICINE PC","ALPHA INTERNAL MEDICINE PC"
"2043","ALPHA MAGNETIC RESONANCE IMAGING, PC","ALPHA MAGNETIC RESONANCE IMAGING, PC"
"2044","ALPHA MEDICAL EQUIPMENT & SUPPLY, INC.","ALPHA MEDICAL EQUIPMENT & SUPPLY, INC."
"2045","ALPHA MEDICAL SERVICES, P.C.","ALPHA MEDICAL SERVICES, P.C."
"2046","ALPHA NEUROLOGY,PC","ALPHA NEUROLOGY,PC"
"2047","ALPHA SCHOOL CENTER FOR PROGRESSIVE LIVING, INC.","ALPHA SCHOOL CENTER FOR PROGRESSIVE LIVING, INC."
"2048","ALPHABET ADULT DAYCARE INC.","ALPHABET ADULT DAYCARE INC."
"2049","ALPHACARE OF NEW YORK, INC","ALPHACARE OF NEW YORK, INC"
"2050","ALPHONSO L. SORHAINDO, PH.D.","ALPHONSO L. SORHAINDO, PH.D."
"2051","ALPINA PHARMACY INC.","ALPINA PHARMACY INC."
"2052","ALPINE HOME HEALTH CARE LLC","ALPINE HOME HEALTH CARE LLC"
"2053","ALPS ROAD FAMILY FOOT AND ANKLE","ALPS ROAD FAMILY FOOT AND ANKLE"
"2054","ALQUIMEDEZ MENTAL HEALTH COUNSELING","ALQUIMEDEZ MENTAL HEALTH COUNSELING"
"2055","ALRAED PHYSICAL THERAPY PC","ALRAED PHYSICAL THERAPY PC"
"2056","ALTAF A KHAN","ALTAF A KHAN"
"2057","ALTAIR MEDICAL, P.C.","ALTAIR MEDICAL, P.C."
"2058","ALTER FAMILY INC","ALTER FAMILY INC"
"2059","ALTERNATE CHOICE - HOME CARE","ALTERNATE CHOICE - HOME CARE"
"2060","ALTERNATE STAFFING INC.","ALTERNATE STAFFING INC."
"2061","ALTERNATE STAFFING, INC.","ALTERNATE STAFFING, INC."
"2062","ALTERNATIVE OPTOMETRY FOR VISION DEVELOPMENT P.C.","ALTERNATIVE OPTOMETRY FOR VISION DEVELOPMENT P.C."
"2063","ALTHAEA WELLNESS LLC","ALTHAEA WELLNESS LLC"
"2064","ALTHEALTH PARK SLOPE LLC","ALTHEALTH PARK SLOPE LLC"
"2065","ALTUS NEUROSURGERY AND SPINE PLLC","ALTUS NEUROSURGERY AND SPINE PLLC"
"2066","ALVAREZ DENTAL PC","ALVAREZ DENTAL PC"
"2067","ALVARO RAMIREZ PHYSICIAN PC","ALVARO RAMIREZ PHYSICIAN PC"
"2068","ALVIN DIKE PHYSICAL THERAPY PLLC","ALVIN DIKE PHYSICAL THERAPY PLLC"
"2069","ALVIN E. FRIEDMAN-KIEN, M.D., P.C.","ALVIN E. FRIEDMAN-KIEN, M.D., P.C."
"2070","ALVIN I. EDELMAN, D.D.S., P.C.","ALVIN I. EDELMAN, D.D.S., P.C."
"2071","ALVIN KATZ MD PC","ALVIN KATZ MD PC"
"2072","ALWAYS DEPENDABLE CAR SERVICE","ALWAYS DEPENDABLE CAR SERVICE"
"2073","ALWAYS FOR KIDS INC.","ALWAYS FOR KIDS INC."
"2074","ALWAYS THERE RESPIRATORY HOME CARE, INC.","ALWAYS THERE RESPIRATORY HOME CARE, INC."
"2075","ALWAYS YOUR CHOICE","ALWAYS YOUR CHOICE"
"2076","ALY EYECARE CENTER INC.","ALY EYECARE CENTER INC."
"2077","ALZOOBAEE PEDIATRICS, P.C.","ALZOOBAEE PEDIATRICS, P.C."
"2078","AM AUTUMN HOUSE LLC","AM AUTUMN HOUSE LLC"
"2079","AM CHIROPRACTIC PC","AM CHIROPRACTIC PC"
"2080","AM NEPHROLOGY CARE PC","AM NEPHROLOGY CARE PC"
"2081","AM PHARMACY INC","AM PHARMACY INC"
"2082","AM PM MEDICAL P.C.","AM PM MEDICAL P.C."
"2083","AMANI PHARMACY INC","AMANI PHARMACY INC"
"2084","AMAR LAL PUROHIT, P.C.","AMAR LAL PUROHIT, P.C."
"2085","AMAR PHARMACY INC.","AMAR PHARMACY INC."
"2086","AMARANTH PEDIATRIC HEALTH, PC","AMARANTH PEDIATRIC HEALTH, PC"
"2087","AMARILIS A. JACOBO DENTAL OFFICE","AMARILIS A. JACOBO DENTAL OFFICE"
"2088","AMATO PHARMACY, INC.","AMATO PHARMACY, INC."
"2089","AMAVI MEDICAL PLLC","AMAVI MEDICAL PLLC"
"2090","AMAZINCARE MEDICAL SUPPLY","AMAZINCARE MEDICAL SUPPLY"
"2091","AMAZING ADULT DAYCARE, INC.","AMAZING ADULT DAYCARE, INC."
"2092","AMAZING CAR AND LIMO SERVICE INC.","AMAZING CAR AND LIMO SERVICE INC."
